Train Iteration: 100%
9046/9046 [3:55:39<00:00, 1.56s/it]
{'avg_chunks': 2.8, 'loss': 2.646229076385498, 'learning_rate': 1.5224408578377186e-05, 'optimizer_steps': 135}
{'avg_chunks': 2.6, 'loss': 2.647513484954834, 'learning_rate': 1.5189033827105904e-05, 'optimizer_steps': 136}
{'avg_chunks': 3.2, 'loss': 2.3265162467956544, 'learning_rate': 1.5189033827105904e-05, 'optimizer_steps': 136}
{'avg_chunks': 3.2, 'loss': 3.1479973793029785, 'learning_rate': 1.5189033827105904e-05, 'optimizer_steps': 136}
{'avg_chunks': 3.8, 'loss': 2.761680507659912, 'learning_rate': 1.5189033827105904e-05, 'optimizer_steps': 136}
{'avg_chunks': 4.0, 'loss': 2.7585784912109377, 'learning_rate': 1.5153659075834624e-05, 'optimizer_steps': 137}
{'avg_chunks': 3.0, 'loss': 2.6189213037490844, 'learning_rate': 1.5153659075834624e-05, 'optimizer_steps': 137}
{'avg_chunks': 3.8, 'loss': 2.949428129196167, 'learning_rate': 1.5153659075834624e-05, 'optimizer_steps': 137}
{'avg_chunks': 3.4, 'loss': 3.3401565551757812, 'learning_rate': 1.5118284324563344e-05, 'optimizer_steps': 138}
{'avg_chunks': 2.4, 'loss': 2.6049211502075194, 'learning_rate': 1.5118284324563344e-05, 'optimizer_steps': 138}
{'avg_chunks': 3.4, 'loss': 2.6950902462005617, 'learning_rate': 1.5118284324563344e-05, 'optimizer_steps': 138}
{'avg_chunks': 2.8, 'loss': 2.628100872039795, 'learning_rate': 1.5082909573292064e-05, 'optimizer_steps': 139}
{'avg_chunks': 3.4, 'loss': 2.6132859706878664, 'learning_rate': 1.5082909573292064e-05, 'optimizer_steps': 139}
{'avg_chunks': 2.8, 'loss': 2.7508567333221436, 'learning_rate': 1.5082909573292064e-05, 'optimizer_steps': 139}
{'avg_chunks': 3.0, 'loss': 2.587840270996094, 'learning_rate': 1.5047534822020783e-05, 'optimizer_steps': 140}
{'avg_chunks': 3.2, 'loss': 2.892840337753296, 'learning_rate': 1.5047534822020783e-05, 'optimizer_steps': 140}
{'avg_chunks': 2.6, 'loss': 2.8286727905273437, 'learning_rate': 1.5047534822020783e-05, 'optimizer_steps': 140}
{'avg_chunks': 3.4, 'loss': 2.511834192276001, 'learning_rate': 1.5012160070749503e-05, 'optimizer_steps': 141}
{'avg_chunks': 3.0, 'loss': 2.6898226737976074, 'learning_rate': 1.5012160070749503e-05, 'optimizer_steps': 141}
{'avg_chunks': 3.8, 'loss': 2.726646327972412, 'learning_rate': 1.5012160070749503e-05, 'optimizer_steps': 141}
{'avg_chunks': 2.8, 'loss': 3.015245485305786, 'learning_rate': 1.5012160070749503e-05, 'optimizer_steps': 141}
{'avg_chunks': 2.8, 'loss': 2.566325807571411, 'learning_rate': 1.4976785319478225e-05, 'optimizer_steps': 142}
{'avg_chunks': 3.0, 'loss': 2.4714837312698363, 'learning_rate': 1.4976785319478225e-05, 'optimizer_steps': 142}
{'avg_chunks': 3.0, 'loss': 2.4456560134887697, 'learning_rate': 1.4976785319478225e-05, 'optimizer_steps': 142}
{'avg_chunks': 2.2, 'loss': 2.5514173984527586, 'learning_rate': 1.4941410568206945e-05, 'optimizer_steps': 143}
{'avg_chunks': 2.6, 'loss': 3.0306154251098634, 'learning_rate': 1.4941410568206945e-05, 'optimizer_steps': 143}
{'avg_chunks': 3.6, 'loss': 3.1230648517608643, 'learning_rate': 1.4941410568206945e-05, 'optimizer_steps': 143}
{'avg_chunks': 3.8, 'loss': 2.7026835918426513, 'learning_rate': 1.4906035816935664e-05, 'optimizer_steps': 144}
{'avg_chunks': 2.2, 'loss': 2.6836649417877196, 'learning_rate': 1.4906035816935664e-05, 'optimizer_steps': 144}
{'avg_chunks': 2.4, 'loss': 2.8270886898040772, 'learning_rate': 1.4906035816935664e-05, 'optimizer_steps': 144}
{'avg_chunks': 2.0, 'loss': 2.5674885272979737, 'learning_rate': 1.4870661065664382e-05, 'optimizer_steps': 145}
{'avg_chunks': 3.6, 'loss': 2.952070617675781, 'learning_rate': 1.4870661065664382e-05, 'optimizer_steps': 145}
{'avg_chunks': 4.0, 'loss': 2.8910274505615234, 'learning_rate': 1.4870661065664382e-05, 'optimizer_steps': 145}
{'avg_chunks': 3.0, 'loss': 2.8405035495758058, 'learning_rate': 1.4835286314393102e-05, 'optimizer_steps': 146}
{'avg_chunks': 2.6, 'loss': 2.7035926580429077, 'learning_rate': 1.4835286314393102e-05, 'optimizer_steps': 146}
{'avg_chunks': 3.0, 'loss': 2.6353843212127686, 'learning_rate': 1.4835286314393102e-05, 'optimizer_steps': 146}
{'avg_chunks': 2.8, 'loss': 2.7027267456054687, 'learning_rate': 1.4835286314393102e-05, 'optimizer_steps': 146}
{'avg_chunks': 3.2, 'loss': 2.6812325000762938, 'learning_rate': 1.4799911563121822e-05, 'optimizer_steps': 147}
{'avg_chunks': 3.2, 'loss': 2.6217077732086183, 'learning_rate': 1.4799911563121822e-05, 'optimizer_steps': 147}
{'avg_chunks': 2.0, 'loss': 2.6542407035827638, 'learning_rate': 1.4799911563121822e-05, 'optimizer_steps': 147}
{'avg_chunks': 3.6, 'loss': 2.6023029327392577, 'learning_rate': 1.4764536811850544e-05, 'optimizer_steps': 148}
{'avg_chunks': 2.8, 'loss': 2.541842985153198, 'learning_rate': 1.4764536811850544e-05, 'optimizer_steps': 148}
{'avg_chunks': 2.8, 'loss': 2.590294599533081, 'learning_rate': 1.4764536811850544e-05, 'optimizer_steps': 148}
{'avg_chunks': 2.8, 'loss': 2.8921433448791505, 'learning_rate': 1.4729162060579263e-05, 'optimizer_steps': 149}
{'avg_chunks': 2.8, 'loss': 3.0034767627716064, 'learning_rate': 1.4729162060579263e-05, 'optimizer_steps': 149}
{'avg_chunks': 2.2, 'loss': 2.491087794303894, 'learning_rate': 1.4729162060579263e-05, 'optimizer_steps': 149}
{'avg_chunks': 3.2, 'loss': 2.636242628097534, 'learning_rate': 1.4693787309307983e-05, 'optimizer_steps': 150}
{'avg_chunks': 2.4, 'loss': 2.77581524848938, 'learning_rate': 1.4693787309307983e-05, 'optimizer_steps': 150}
{'avg_chunks': 2.8, 'loss': 2.8566471576690673, 'learning_rate': 1.4693787309307983e-05, 'optimizer_steps': 150}
{'avg_chunks': 2.4, 'loss': 2.5226205825805663, 'learning_rate': 1.4658412558036703e-05, 'optimizer_steps': 151}
{'avg_chunks': 3.2, 'loss': 2.8141391277313232, 'learning_rate': 1.4658412558036703e-05, 'optimizer_steps': 151}
{'avg_chunks': 2.2, 'loss': 2.319188952445984, 'learning_rate': 1.4658412558036703e-05, 'optimizer_steps': 151}
{'avg_chunks': 2.6, 'loss': 2.7594869136810303, 'learning_rate': 1.4658412558036703e-05, 'optimizer_steps': 151}
{'avg_chunks': 2.2, 'loss': 2.8808714389801025, 'learning_rate': 1.4623037806765423e-05, 'optimizer_steps': 152}
{'avg_chunks': 2.4, 'loss': 2.8192649364471434, 'learning_rate': 1.4623037806765423e-05, 'optimizer_steps': 152}
{'avg_chunks': 2.4, 'loss': 2.4521316051483155, 'learning_rate': 1.4623037806765423e-05, 'optimizer_steps': 152}
{'avg_chunks': 3.0, 'loss': 2.4811794757843018, 'learning_rate': 1.458766305549414e-05, 'optimizer_steps': 153}
{'avg_chunks': 2.6, 'loss': 2.3476136207580565, 'learning_rate': 1.458766305549414e-05, 'optimizer_steps': 153}
{'avg_chunks': 3.0, 'loss': 2.51275520324707, 'learning_rate': 1.458766305549414e-05, 'optimizer_steps': 153}
{'avg_chunks': 2.4, 'loss': 2.862206315994263, 'learning_rate': 1.455228830422286e-05, 'optimizer_steps': 154}
{'avg_chunks': 2.2, 'loss': 2.8009090423583984, 'learning_rate': 1.455228830422286e-05, 'optimizer_steps': 154}
{'avg_chunks': 3.2, 'loss': 2.6430033683776855, 'learning_rate': 1.455228830422286e-05, 'optimizer_steps': 154}
{'avg_chunks': 2.2, 'loss': 2.9039891242980955, 'learning_rate': 1.4516913552951582e-05, 'optimizer_steps': 155}
{'avg_chunks': 2.4, 'loss': 2.7177615642547606, 'learning_rate': 1.4516913552951582e-05, 'optimizer_steps': 155}
{'avg_chunks': 3.0, 'loss': 2.8185595989227297, 'learning_rate': 1.4516913552951582e-05, 'optimizer_steps': 155}
{'avg_chunks': 2.8, 'loss': 2.9184287548065186, 'learning_rate': 1.4481538801680302e-05, 'optimizer_steps': 156}
{'avg_chunks': 3.2, 'loss': 2.934756326675415, 'learning_rate': 1.4481538801680302e-05, 'optimizer_steps': 156}
{'avg_chunks': 4.0, 'loss': 2.9423511028289795, 'learning_rate': 1.4481538801680302e-05, 'optimizer_steps': 156}
{'avg_chunks': 2.8, 'loss': 2.672697734832764, 'learning_rate': 1.4481538801680302e-05, 'optimizer_steps': 156}
{'avg_chunks': 2.6, 'loss': 2.8368348598480226, 'learning_rate': 1.4446164050409022e-05, 'optimizer_steps': 157}
{'avg_chunks': 2.8, 'loss': 2.7657356739044188, 'learning_rate': 1.4446164050409022e-05, 'optimizer_steps': 157}
{'avg_chunks': 3.4, 'loss': 2.8259780406951904, 'learning_rate': 1.4446164050409022e-05, 'optimizer_steps': 157}
{'avg_chunks': 2.8, 'loss': 2.441055107116699, 'learning_rate': 1.4410789299137742e-05, 'optimizer_steps': 158}
{'avg_chunks': 2.8, 'loss': 2.583833861351013, 'learning_rate': 1.4410789299137742e-05, 'optimizer_steps': 158}
{'avg_chunks': 4.0, 'loss': 2.798033428192139, 'learning_rate': 1.4410789299137742e-05, 'optimizer_steps': 158}
{'avg_chunks': 3.2, 'loss': 2.9943775177001952, 'learning_rate': 1.4375414547866461e-05, 'optimizer_steps': 159}
{'avg_chunks': 3.4, 'loss': 2.5315791606903075, 'learning_rate': 1.4375414547866461e-05, 'optimizer_steps': 159}
{'avg_chunks': 2.8, 'loss': 2.7277042865753174, 'learning_rate': 1.4375414547866461e-05, 'optimizer_steps': 159}
{'avg_chunks': 3.6, 'loss': 2.7793228149414064, 'learning_rate': 1.4340039796595183e-05, 'optimizer_steps': 160}
{'avg_chunks': 3.6, 'loss': 2.9378551483154296, 'learning_rate': 1.4340039796595183e-05, 'optimizer_steps': 160}
{'avg_chunks': 2.2, 'loss': 2.8149885177612304, 'learning_rate': 1.4340039796595183e-05, 'optimizer_steps': 160}
{'avg_chunks': 2.4, 'loss': 2.734450674057007, 'learning_rate': 1.4304665045323903e-05, 'optimizer_steps': 161}
{'avg_chunks': 2.8, 'loss': 2.5727411270141602, 'learning_rate': 1.4304665045323903e-05, 'optimizer_steps': 161}
{'avg_chunks': 2.6, 'loss': 2.5421826362609865, 'learning_rate': 1.4304665045323903e-05, 'optimizer_steps': 161}
{'avg_chunks': 3.0, 'loss': 2.772983455657959, 'learning_rate': 1.4304665045323903e-05, 'optimizer_steps': 161}
{'avg_chunks': 3.2, 'loss': 2.9471397399902344, 'learning_rate': 1.426929029405262e-05, 'optimizer_steps': 162}
{'avg_chunks': 3.6, 'loss': 2.819513463973999, 'learning_rate': 1.426929029405262e-05, 'optimizer_steps': 162}
{'avg_chunks': 2.6, 'loss': 2.582389402389526, 'learning_rate': 1.426929029405262e-05, 'optimizer_steps': 162}
{'avg_chunks': 2.2, 'loss': 2.772691011428833, 'learning_rate': 1.423391554278134e-05, 'optimizer_steps': 163}
{'avg_chunks': 2.4, 'loss': 2.9992993831634522, 'learning_rate': 1.423391554278134e-05, 'optimizer_steps': 163}
{'avg_chunks': 2.8, 'loss': 2.6564722537994383, 'learning_rate': 1.423391554278134e-05, 'optimizer_steps': 163}
{'avg_chunks': 2.8, 'loss': 2.6780951023101807, 'learning_rate': 1.419854079151006e-05, 'optimizer_steps': 164}
{'avg_chunks': 2.2, 'loss': 2.7446977615356447, 'learning_rate': 1.419854079151006e-05, 'optimizer_steps': 164}
{'avg_chunks': 2.6, 'loss': 2.841967821121216, 'learning_rate': 1.419854079151006e-05, 'optimizer_steps': 164}
{'avg_chunks': 3.0, 'loss': 3.0528802394866945, 'learning_rate': 1.416316604023878e-05, 'optimizer_steps': 165}
{'avg_chunks': 3.0, 'loss': 2.724341106414795, 'learning_rate': 1.416316604023878e-05, 'optimizer_steps': 165}
{'avg_chunks': 2.2, 'loss': 2.2512768030166628, 'learning_rate': 1.416316604023878e-05, 'optimizer_steps': 165}
{'avg_chunks': 3.2, 'loss': 2.695772075653076, 'learning_rate': 1.41277912889675e-05, 'optimizer_steps': 166}
{'avg_chunks': 3.0, 'loss': 2.6512876987457275, 'learning_rate': 1.41277912889675e-05, 'optimizer_steps': 166}
{'avg_chunks': 3.0, 'loss': 2.8888564586639403, 'learning_rate': 1.41277912889675e-05, 'optimizer_steps': 166}
{'avg_chunks': 3.0, 'loss': 2.7403172492980956, 'learning_rate': 1.41277912889675e-05, 'optimizer_steps': 166}
{'avg_chunks': 2.8, 'loss': 2.7190530776977537, 'learning_rate': 1.4092416537696221e-05, 'optimizer_steps': 167}
{'avg_chunks': 3.2, 'loss': 2.380882406234741, 'learning_rate': 1.4092416537696221e-05, 'optimizer_steps': 167}
{'avg_chunks': 2.6, 'loss': 2.4733513593673706, 'learning_rate': 1.4092416537696221e-05, 'optimizer_steps': 167}
{'avg_chunks': 2.6, 'loss': 2.6991909980773925, 'learning_rate': 1.4057041786424941e-05, 'optimizer_steps': 168}
{'avg_chunks': 3.4, 'loss': 2.6826991558074953, 'learning_rate': 1.4057041786424941e-05, 'optimizer_steps': 168}
{'avg_chunks': 2.2, 'loss': 2.7549320220947267, 'learning_rate': 1.4057041786424941e-05, 'optimizer_steps': 168}
{'avg_chunks': 3.0, 'loss': 2.513390398025513, 'learning_rate': 1.4021667035153661e-05, 'optimizer_steps': 169}
{'avg_chunks': 2.2, 'loss': 2.6629381656646727, 'learning_rate': 1.4021667035153661e-05, 'optimizer_steps': 169}
{'avg_chunks': 2.2, 'loss': 2.4400203704833983, 'learning_rate': 1.4021667035153661e-05, 'optimizer_steps': 169}
{'avg_chunks': 3.4, 'loss': 2.491485929489136, 'learning_rate': 1.398629228388238e-05, 'optimizer_steps': 170}
{'avg_chunks': 3.0, 'loss': 2.4527291297912597, 'learning_rate': 1.398629228388238e-05, 'optimizer_steps': 170}
{'avg_chunks': 3.2, 'loss': 2.6335144519805906, 'learning_rate': 1.398629228388238e-05, 'optimizer_steps': 170}
{'avg_chunks': 2.8, 'loss': 3.021480083465576, 'learning_rate': 1.3950917532611099e-05, 'optimizer_steps': 171}
{'avg_chunks': 3.0, 'loss': 3.039552116394043, 'learning_rate': 1.3950917532611099e-05, 'optimizer_steps': 171}
{'avg_chunks': 2.4, 'loss': 2.2673959255218508, 'learning_rate': 1.3950917532611099e-05, 'optimizer_steps': 171}
{'avg_chunks': 3.0, 'loss': 2.63503155708313, 'learning_rate': 1.3950917532611099e-05, 'optimizer_steps': 171}
{'avg_chunks': 3.2, 'loss': 2.8146076440811156, 'learning_rate': 1.3915542781339819e-05, 'optimizer_steps': 172}
{'avg_chunks': 3.0, 'loss': 2.9975176811218263, 'learning_rate': 1.3915542781339819e-05, 'optimizer_steps': 172}
{'avg_chunks': 3.0, 'loss': 2.63139545917511, 'learning_rate': 1.3915542781339819e-05, 'optimizer_steps': 172}
{'avg_chunks': 2.8, 'loss': 2.3850117683410645, 'learning_rate': 1.3880168030068538e-05, 'optimizer_steps': 173}
{'avg_chunks': 2.4, 'loss': 2.516844367980957, 'learning_rate': 1.3880168030068538e-05, 'optimizer_steps': 173}
{'avg_chunks': 3.0, 'loss': 2.8149200916290282, 'learning_rate': 1.3880168030068538e-05, 'optimizer_steps': 173}
{'avg_chunks': 4.4, 'loss': 3.0037583827972414, 'learning_rate': 1.384479327879726e-05, 'optimizer_steps': 174}
{'avg_chunks': 2.6, 'loss': 2.4731571674346924, 'learning_rate': 1.384479327879726e-05, 'optimizer_steps': 174}
{'avg_chunks': 2.6, 'loss': 2.9021506309509277, 'learning_rate': 1.384479327879726e-05, 'optimizer_steps': 174}
{'avg_chunks': 3.2, 'loss': 2.60565390586853, 'learning_rate': 1.380941852752598e-05, 'optimizer_steps': 175}
{'avg_chunks': 2.6, 'loss': 2.886031150817871, 'learning_rate': 1.380941852752598e-05, 'optimizer_steps': 175}
{'avg_chunks': 2.8, 'loss': 2.4793806314468383, 'learning_rate': 1.380941852752598e-05, 'optimizer_steps': 175}
{'avg_chunks': 2.2, 'loss': 2.7619807720184326, 'learning_rate': 1.37740437762547e-05, 'optimizer_steps': 176}
{'avg_chunks': 3.0, 'loss': 2.6704930305480956, 'learning_rate': 1.37740437762547e-05, 'optimizer_steps': 176}
{'avg_chunks': 2.8, 'loss': 2.483295941352844, 'learning_rate': 1.37740437762547e-05, 'optimizer_steps': 176}
{'avg_chunks': 2.0, 'loss': 2.8735814094543457, 'learning_rate': 1.37740437762547e-05, 'optimizer_steps': 176}
{'avg_chunks': 3.0, 'loss': 2.4944754123687742, 'learning_rate': 1.373866902498342e-05, 'optimizer_steps': 177}
{'avg_chunks': 3.4, 'loss': 2.8438282012939453, 'learning_rate': 1.373866902498342e-05, 'optimizer_steps': 177}
{'avg_chunks': 3.0, 'loss': 2.7414262294769287, 'learning_rate': 1.373866902498342e-05, 'optimizer_steps': 177}
{'avg_chunks': 2.8, 'loss': 2.9061511516571046, 'learning_rate': 1.370329427371214e-05, 'optimizer_steps': 178}
{'avg_chunks': 3.4, 'loss': 2.967553663253784, 'learning_rate': 1.370329427371214e-05, 'optimizer_steps': 178}
{'avg_chunks': 2.4, 'loss': 2.8444324016571043, 'learning_rate': 1.370329427371214e-05, 'optimizer_steps': 178}
{'avg_chunks': 2.8, 'loss': 2.793479633331299, 'learning_rate': 1.3667919522440857e-05, 'optimizer_steps': 179}
{'avg_chunks': 2.4, 'loss': 2.8188854217529298, 'learning_rate': 1.3667919522440857e-05, 'optimizer_steps': 179}
{'avg_chunks': 2.6, 'loss': 2.711697006225586, 'learning_rate': 1.3667919522440857e-05, 'optimizer_steps': 179}
{'avg_chunks': 2.2, 'loss': 2.7299935817718506, 'learning_rate': 1.3632544771169579e-05, 'optimizer_steps': 180}
{'avg_chunks': 3.4, 'loss': 2.571094846725464, 'learning_rate': 1.3632544771169579e-05, 'optimizer_steps': 180}
{'avg_chunks': 3.2, 'loss': 3.009667253494263, 'learning_rate': 1.3632544771169579e-05, 'optimizer_steps': 180}
{'avg_chunks': 2.2, 'loss': 2.6871705770492555, 'learning_rate': 1.3597170019898299e-05, 'optimizer_steps': 181}
{'avg_chunks': 2.0, 'loss': 2.7664264678955077, 'learning_rate': 1.3597170019898299e-05, 'optimizer_steps': 181}
{'avg_chunks': 3.2, 'loss': 2.8721175670623778, 'learning_rate': 1.3597170019898299e-05, 'optimizer_steps': 181}
{'avg_chunks': 2.8, 'loss': 2.635975980758667, 'learning_rate': 1.3597170019898299e-05, 'optimizer_steps': 181}
{'avg_chunks': 3.0, 'loss': 2.7333330154418944, 'learning_rate': 1.3561795268627018e-05, 'optimizer_steps': 182}
{'avg_chunks': 3.0, 'loss': 2.6512267112731935, 'learning_rate': 1.3561795268627018e-05, 'optimizer_steps': 182}
{'avg_chunks': 2.2, 'loss': 2.7338167905807493, 'learning_rate': 1.3561795268627018e-05, 'optimizer_steps': 182}
{'avg_chunks': 3.6, 'loss': 2.601547431945801, 'learning_rate': 1.3526420517355738e-05, 'optimizer_steps': 183}
{'avg_chunks': 3.0, 'loss': 2.2238519906997682, 'learning_rate': 1.3526420517355738e-05, 'optimizer_steps': 183}
{'avg_chunks': 4.0, 'loss': 2.8164099216461183, 'learning_rate': 1.3526420517355738e-05, 'optimizer_steps': 183}
{'avg_chunks': 2.4, 'loss': 2.6877708435058594, 'learning_rate': 1.3491045766084458e-05, 'optimizer_steps': 184}
{'avg_chunks': 2.8, 'loss': 2.4884745836257935, 'learning_rate': 1.3491045766084458e-05, 'optimizer_steps': 184}
{'avg_chunks': 2.0, 'loss': 2.59523983001709, 'learning_rate': 1.3491045766084458e-05, 'optimizer_steps': 184}
{'avg_chunks': 2.0, 'loss': 2.687472343444824, 'learning_rate': 1.345567101481318e-05, 'optimizer_steps': 185}
{'avg_chunks': 3.6, 'loss': 2.5734584808349608, 'learning_rate': 1.345567101481318e-05, 'optimizer_steps': 185}
{'avg_chunks': 3.0, 'loss': 2.7068763732910157, 'learning_rate': 1.345567101481318e-05, 'optimizer_steps': 185}
{'avg_chunks': 2.8, 'loss': 2.832048177719116, 'learning_rate': 1.34202962635419e-05, 'optimizer_steps': 186}
{'avg_chunks': 2.6, 'loss': 2.310276913642883, 'learning_rate': 1.34202962635419e-05, 'optimizer_steps': 186}
{'avg_chunks': 2.8, 'loss': 2.7448318004608154, 'learning_rate': 1.34202962635419e-05, 'optimizer_steps': 186}
{'avg_chunks': 2.4, 'loss': 3.2077030181884765, 'learning_rate': 1.34202962635419e-05, 'optimizer_steps': 186}
{'avg_chunks': 2.6, 'loss': 2.517681121826172, 'learning_rate': 1.3384921512270619e-05, 'optimizer_steps': 187}
{'avg_chunks': 2.4, 'loss': 2.547733736038208, 'learning_rate': 1.3384921512270619e-05, 'optimizer_steps': 187}
{'avg_chunks': 3.4, 'loss': 2.7867218017578126, 'learning_rate': 1.3384921512270619e-05, 'optimizer_steps': 187}
{'avg_chunks': 3.4, 'loss': 3.046545124053955, 'learning_rate': 1.3349546760999337e-05, 'optimizer_steps': 188}
{'avg_chunks': 3.2, 'loss': 2.6010767221450806, 'learning_rate': 1.3349546760999337e-05, 'optimizer_steps': 188}
{'avg_chunks': 2.4, 'loss': 2.8796582221984863, 'learning_rate': 1.3349546760999337e-05, 'optimizer_steps': 188}
{'avg_chunks': 3.2, 'loss': 2.884305000305176, 'learning_rate': 1.3314172009728057e-05, 'optimizer_steps': 189}
{'avg_chunks': 3.2, 'loss': 2.7142126083374025, 'learning_rate': 1.3314172009728057e-05, 'optimizer_steps': 189}
{'avg_chunks': 2.6, 'loss': 2.8962428092956545, 'learning_rate': 1.3314172009728057e-05, 'optimizer_steps': 189}
{'avg_chunks': 2.6, 'loss': 2.5428229570388794, 'learning_rate': 1.3278797258456777e-05, 'optimizer_steps': 190}
{'avg_chunks': 2.8, 'loss': 2.7896977424621583, 'learning_rate': 1.3278797258456777e-05, 'optimizer_steps': 190}
{'avg_chunks': 3.2, 'loss': 2.345715546607971, 'learning_rate': 1.3278797258456777e-05, 'optimizer_steps': 190}
{'avg_chunks': 3.2, 'loss': 2.9085254669189453, 'learning_rate': 1.3243422507185497e-05, 'optimizer_steps': 191}
{'avg_chunks': 2.6, 'loss': 2.665456485748291, 'learning_rate': 1.3243422507185497e-05, 'optimizer_steps': 191}
{'avg_chunks': 3.2, 'loss': 2.86755166053772, 'learning_rate': 1.3243422507185497e-05, 'optimizer_steps': 191}
{'avg_chunks': 3.4, 'loss': 2.4663046836853026, 'learning_rate': 1.3243422507185497e-05, 'optimizer_steps': 191}
{'avg_chunks': 2.6, 'loss': 2.5827051162719727, 'learning_rate': 1.3208047755914218e-05, 'optimizer_steps': 192}
{'avg_chunks': 2.2, 'loss': 2.5524863719940187, 'learning_rate': 1.3208047755914218e-05, 'optimizer_steps': 192}
{'avg_chunks': 2.6, 'loss': 2.511161470413208, 'learning_rate': 1.3208047755914218e-05, 'optimizer_steps': 192}
{'avg_chunks': 3.0, 'loss': 2.865822601318359, 'learning_rate': 1.3172673004642938e-05, 'optimizer_steps': 193}
{'avg_chunks': 2.6, 'loss': 3.1015334606170653, 'learning_rate': 1.3172673004642938e-05, 'optimizer_steps': 193}
{'avg_chunks': 3.4, 'loss': 2.5544363021850587, 'learning_rate': 1.3172673004642938e-05, 'optimizer_steps': 193}
{'avg_chunks': 3.6, 'loss': 2.392883634567261, 'learning_rate': 1.3137298253371658e-05, 'optimizer_steps': 194}
{'avg_chunks': 2.8, 'loss': 2.3238839149475097, 'learning_rate': 1.3137298253371658e-05, 'optimizer_steps': 194}
{'avg_chunks': 2.2, 'loss': 2.697098445892334, 'learning_rate': 1.3137298253371658e-05, 'optimizer_steps': 194}
{'avg_chunks': 3.4, 'loss': 2.966324806213379, 'learning_rate': 1.3101923502100377e-05, 'optimizer_steps': 195}
{'avg_chunks': 3.8, 'loss': 2.95301194190979, 'learning_rate': 1.3101923502100377e-05, 'optimizer_steps': 195}
{'avg_chunks': 2.2, 'loss': 2.5489441394805907, 'learning_rate': 1.3101923502100377e-05, 'optimizer_steps': 195}
{'avg_chunks': 2.0, 'loss': 2.6497658252716065, 'learning_rate': 1.3066548750829097e-05, 'optimizer_steps': 196}
{'avg_chunks': 3.0, 'loss': 2.9366189002990724, 'learning_rate': 1.3066548750829097e-05, 'optimizer_steps': 196}
{'avg_chunks': 2.4, 'loss': 2.6267725944519045, 'learning_rate': 1.3066548750829097e-05, 'optimizer_steps': 196}
{'avg_chunks': 2.8, 'loss': 2.6601372718811036, 'learning_rate': 1.3066548750829097e-05, 'optimizer_steps': 196}
{'avg_chunks': 3.8, 'loss': 2.8608343601226807, 'learning_rate': 1.3031173999557815e-05, 'optimizer_steps': 197}
{'avg_chunks': 2.6, 'loss': 2.8510413646697996, 'learning_rate': 1.3031173999557815e-05, 'optimizer_steps': 197}
{'avg_chunks': 3.0, 'loss': 2.7155736446380616, 'learning_rate': 1.3031173999557815e-05, 'optimizer_steps': 197}
{'avg_chunks': 2.0, 'loss': 2.2622390270233153, 'learning_rate': 1.2995799248286535e-05, 'optimizer_steps': 198}
{'avg_chunks': 3.0, 'loss': 2.517858099937439, 'learning_rate': 1.2995799248286535e-05, 'optimizer_steps': 198}
{'avg_chunks': 2.8, 'loss': 2.6748956203460694, 'learning_rate': 1.2995799248286535e-05, 'optimizer_steps': 198}
{'avg_chunks': 3.2, 'loss': 2.5269354820251464, 'learning_rate': 1.2960424497015257e-05, 'optimizer_steps': 199}
{'avg_chunks': 2.0, 'loss': 2.7217149257659914, 'learning_rate': 1.2960424497015257e-05, 'optimizer_steps': 199}
{'avg_chunks': 2.8, 'loss': 2.6335833072662354, 'learning_rate': 1.2960424497015257e-05, 'optimizer_steps': 199}
{'avg_chunks': 2.8, 'loss': 2.5482225894927977, 'learning_rate': 1.2925049745743976e-05, 'optimizer_steps': 200}
{'avg_chunks': 2.8, 'loss': 2.7411945104599, 'learning_rate': 1.2925049745743976e-05, 'optimizer_steps': 200}
{'avg_chunks': 2.8, 'loss': 2.80078604221344, 'learning_rate': 1.2925049745743976e-05, 'optimizer_steps': 200}
{'avg_chunks': 2.4, 'loss': 2.6095396518707275, 'learning_rate': 1.2889674994472696e-05, 'optimizer_steps': 201}
{'avg_chunks': 3.2, 'loss': 2.4512288093566896, 'learning_rate': 1.2889674994472696e-05, 'optimizer_steps': 201}
{'avg_chunks': 3.4, 'loss': 2.5372769832611084, 'learning_rate': 1.2889674994472696e-05, 'optimizer_steps': 201}
{'avg_chunks': 3.8, 'loss': 2.8468282222747803, 'learning_rate': 1.2889674994472696e-05, 'optimizer_steps': 201}
{'avg_chunks': 3.2, 'loss': 2.656863880157471, 'learning_rate': 1.2854300243201416e-05, 'optimizer_steps': 202}
{'avg_chunks': 3.4, 'loss': 2.8749454021453857, 'learning_rate': 1.2854300243201416e-05, 'optimizer_steps': 202}
{'avg_chunks': 2.6, 'loss': 2.426151084899902, 'learning_rate': 1.2854300243201416e-05, 'optimizer_steps': 202}
{'avg_chunks': 2.6, 'loss': 2.641233205795288, 'learning_rate': 1.2818925491930136e-05, 'optimizer_steps': 203}
{'avg_chunks': 3.4, 'loss': 2.7901449680328367, 'learning_rate': 1.2818925491930136e-05, 'optimizer_steps': 203}
{'avg_chunks': 3.2, 'loss': 2.7893584251403807, 'learning_rate': 1.2818925491930136e-05, 'optimizer_steps': 203}
{'avg_chunks': 3.8, 'loss': 3.1880812644958496, 'learning_rate': 1.2783550740658857e-05, 'optimizer_steps': 204}
